date,open,high,low,close
2020-06-01 21:07:00+09:00,1029892,1030800,1029841,1030635
2020-06-01 21:08:00+09:00,1030635,1031472,1030573,1031174
2020-06-01 21:09:00+09:00,1031158,1031421,1030583,1031036
2020-06-01 21:10:00+09:00,1030928,1031084,1029934,1030150
2020-06-01 21:11:00+09:00,1030119,1030254,1029544,1029655
2020-06-01 21:12:00+09:00,1029618,1029649,1028773,1029287
2020-06-01 21:13:00+09:00,1029276,1029636,1029003,1029380
2020-06-01 21:14:00+09:00,1029267,1029595,1029043,1029241
2020-06-01 21:15:00+09:00,1029231,1029295,1028588,1028974
2020-06-01 21:16:00+09:00,1029041,1029365,1028903,1029165
2020-06-01 21:17:00+09:00,1029165,1029195,1028801,1028873
2020-06-01 21:18:00+09:00,1028805,1029196,1028745,1029074
2020-06-01 21:19:00+09:00,1029097,1029931,1029071,1029931
2020-06-01 21:20:00+09:00,1029885,1029885,1028693,1028693
2020-06-01 21:21:00+09:00,1028695,1029103,1027133,1029103
2020-06-01 21:22:00+09:00,1028832,1032343,1028756,1032331
2020-06-01 21:23:00+09:00,1033350,1035735,1033000,1034683
2020-06-01 21:24:00+09:00,1034683,1034800,1032464,1034307
2020-06-01 21:25:00+09:00,1034095,1034341,1033308,1033308
2020-06-01 21:26:00+09:00,1033395,1034200,1033295,1033617
2020-06-01 21:27:00+09:00,1033607,1033984,1033389,1033592
2020-06-01 21:28:00+09:00,1033679,1036700,1033488,1036600
2020-06-01 21:29:00+09:00,1036316,1037217,1035408,1036220
2020-06-01 21:30:00+09:00,1036384,1037433,1036220,1037028
2020-06-01 21:31:00+09:00,1037047,1039579,1037045,1038948
2020-06-01 21:32:00+09:00,1038741,1039521,1037604,1037838
2020-06-01 21:33:00+09:00,1037873,1038679,1037303,1038304
2020-06-01 21:34:00+09:00,1038304,1038365,1036555,1036787
2020-06-01 21:35:00+09:00,1036732,1036920,1035517,1036255
2020-06-01 21:36:00+09:00,1036263,1037418,1035711,1037024
2020-06-01 21:37:00+09:00,1036926,1037075,1036300,1036704
2020-06-01 21:38:00+09:00,1036716,1036989,1036062,1036794
2020-06-01 21:39:00+09:00,1036794,1036867,1036113,1036623
2020-06-01 21:40:00+09:00,1036701,1036794,1035882,1036049
2020-06-01 21:41:00+09:00,1035943,1037000,1035907,1036470
2020-06-01 21:42:00+09:00,1036502,1037018,1036006,1036182
2020-06-01 21:43:00+09:00,1036122,1036687,1036035,1036612
2020-06-01 21:44:00+09:00,1036505,1037000,1036435,1036441
2020-06-01 21:45:00+09:00,1036419,1036467,1035828,1035828
2020-06-01 21:46:00+09:00,1035828,1036183,1035444,1035444
2020-06-01 21:47:00+09:00,1035522,1036289,1035400,1036055
2020-06-01 21:48:00+09:00,1036363,1037400,1036349,1036825
2020-06-01 21:49:00+09:00,1036883,1037182,1036606,1036755
2020-06-01 21:50:00+09:00,1036755,1037291,1035886,1036035
2020-06-01 21:51:00+09:00,1036000,1036088,1035731,1035835
2020-06-01 21:52:00+09:00,1035835,1036692,1035754,1036202
2020-06-01 21:53:00+09:00,1036195,1036195,1035627,1035807
2020-06-01 21:54:00+09:00,1035770,1036197,1035391,1035728
2020-06-01 21:55:00+09:00,1035641,1036155,1035618,1035763
2020-06-01 21:56:00+09:00,1035781,1036069,1035309,1035644
2020-06-01 21:57:00+09:00,1035679,1035875,1035415,1035528
2020-06-01 21:58:00+09:00,1035588,1036652,1035316,1036229
